year,field,original_field,keys,is_tt,rank,headline,text,count
2011,Ancient Art,"Ancient Mediterranean and Near East, Art and Archaeology",tt,TRUE,assistant_prof,University of Chicago,"University of Chicago
The Department of Art History at the University of Chicago announces a junior position (tenure-track) in the art and visual culture of the Ancient Mediterranean, to commence in academic year 2012-2013. Art historians working on any region/epoch from the Iron Age through Late Antiquity are encouraged to apply. This category is deliberately broad; it is not expected that applicants should have expertise across the entire chronological or geographic range. Those with expertise in the Hellenistic/Roman world or in cross-cultural exchange are especially welcome. For fullest consideration, please submit application by 15 October 2011, when the review of applications will begin. No applications will be accepted after 31 March 2012.
First Round Interview:
Rejection: letter (3/17)
Campus Interview: 2 completed
Offer: made and accepted according to the classics wiki (no date given)

",1
2011,Modern / Contemporary Art,"Contemporary Art, Modern Art, Architecture, & Design","tt, assistant_prof",TRUE,assistant_prof,"Indiana University, Southeast","Indiana University, Southeast
The Department of Fine Arts at Indiana University Southeast invites applications for a tenure-track, Assistant Professor of Fine Arts in Contemporary Art History position to begin September 2012. We seek candidates with an earned doctorate in Art History with expertise in Contemporary Art. Normal teaching load is four courses per semester with one course reassigned time for research. Primary responsibilities include the teaching of one or more courses in contemporary art as well as upper and lower level courses in other areas of western art. A commitment to undergraduate teaching, advising, and service is essential.
The successful candidate should have prior experience teaching art history. Preference will be given to candidates with experience teaching contemporary art.
Electronic submissions only; please attach application letter, vita, and a copy of official graduate transcripts. Three letters of recommendation are required; recommenders send letters separately, as email attachments. All application materials should be sent to the Fine Arts Art History Search Committee, via email, to the following address: hr@ius.edu. Review of complete applications (including letters of recommendation) will begin October 17, 2011 and will continue until the position is filled. Contact Human Resources at 812-941-2356 should you need any accommodation during the application process due to a disability.
IU Southeast is one of eight campuses of Indiana University located in New Albany, Indiana, ten minutes from downtown Louisville, Kentucky. The Kentuckiana area is known for its cultural, athletic, and recreational activities and a very low cost-of-living index. IU Southeast has an enrollment of over 7000 students and offers bachelor's and master's degree in a wide range of disciplines. Consistent with the university's commitment to diversity, persons from traditionally under represented groups are strongly encouraged to apply. IU Southeast is an AA/EOE.
First Round Interview:
Rejection: after hearing nothing since submitting my application many moons ago, I emailed HR to inquire about the status of the search. I received a generic HR letter informing me that the position had been filled. I'd love to know if they actually ran this search or if there was just an inside candidate...3/25.

Yes, I do know that was an actual search with all the usual phases, I believe. An offer was made and has been accepted. I don't understand why communication can't be better about these things...
Campus Interview:
Offer:

",1
2011,Asian / Asian Diaspora Art,"Asian: East, South, Southeast",tt,TRUE,unknown,"Bowdoin College, Maine","Bowdoin College, Maine
The Art History Division of the Bowdoin College Department of Art invites applications for a full-time tenure-track position in Asian art, with a joint appointment in Art History and Asian Studies. Course load is four courses per year (a 2/2 load), ordinarily teaching one broadly-conceived introductory level course, two mid-level lecture classes, and an upper-level seminar. Bowdoin's faculty frequently makes use of the collections and exhibitions at the Bowdoin College Museum of Art, whose encyclopedic holdings include examples of Asian art in a variety of media. We welcome applications from specialists in all periods and fields of Asian art (East, South, or Southeast Asian). Candidates must demonstrate the potential for excellence in teaching and research. Bowdoin College accepts only electronic submissions. Please visit https://careers.bowdoin.edu to submit a letter of application, curriculum vitae, and the names and contact information of three people who have agreed to provide reference letters. Review of applications will begin December 16, 2011, and will continue until the position is filled.

Has anyone heard from them? (01/17)
First Round Interview: invited to interview at CAA (1/23 X2)
Rejection:
Campus Interview: invited by phone (2/25) (x2) Really? on Saturday?! COuld I ask your area of specialization, please.
I have it on good faith that it is an inside candidate.

What makes you say that? There doesn't appear to be anyone listed in the catalog as teaching Asian art this year (http://www.bowdoin.edu/art-history/courses/index.shtml).
I have it on good faith that there is an inside candidate (recommended to the search). May I ask your field of specialization. What is there to lose now? My field is Silk Road archaeology.
inside candidate doesn't necessarily mean anything - i was recommended to the search committee, invited enthusiastically to apply but then not even interviewed......
The inside candidate is a Bowdoin grad.
Just stop it already with the inside candidate business. Let the people who have been invited for campus visits prepare in peace, without having to be psyched out with misinformation and/or third-hand gossip. The whole process is stressful enough. (By the way, I am not one of the final candidates.)
I hope the inside candidate information is not true - the committee seemed so nice and genuine. Fooled again? :-(
There was and is no 'inside candidate' among the finalists for this search. And for those who are concerned, as someone who has been a true 'inside candidate' - i.e., in a term position applying for a tenure track version of the same job at the same institution - rest assured that it is a decidedly double-edged sword.
We all understand the double-edged sword part, but did you get that job?
Yes, and I declined it. Double-edge sword in many ways.



-) edge none the less - offers are often made to inside candidates who do have an edge.
The point is that the inside candidate is just as often at a serious disadvantage. As with so many things in the job market, there is really no way to tell what the situation is from the outside, so the mere presence of an inside candidate should not be taken by outside candidates as indicative of anything. If the ultimate question that people worry about is whether an inside candidate means that there is less chance of someone outside ending up with the job, take the small sample set of this year's Asian market as exemplary: there were at least three TT searches with ""inside candidates"" this year in Asian, Middlebury, McGill and Macalester (maybe others, too). AFAIK, in two of the three, the insider will NOT end up with the job and the third remains undecided. Given all the vagueries of the job market and based on this small sample, inside candidates should not be anyone's big concern. This is *especially* the case for one whose insider's status derives from having gotten their BA at the searching institution, which was the (false) rumor circulating around Bowdoin.

Offer: 3/18 Offer made [definitely not an inside candidate, it appears to be a S. Asian modernis (3/27 offer declined; new offer out)
? A new offer to the second choice person or new better offer to first choice ????
3/31 I dont know if a new offer is out to another candidate (perhaps the earlier poster knows?) but I did decline the offer earlier this week because of personal/family reasons. Best of luck to the other two candidates! Bowdoin is a genuinely good school and the person who joins will, I think, enjoy the academic ethos there. [All the best. And hope this means you have a better offer. May I ask what your area of specialization?] S Asia [Islamic, Buddhist, Colonial, other? Interesting that they chose S Asia. Some China specialists thought they would hire East Asian again. Thanks for sharing]
4/10 I am not the person who declined this offer, but I am told (by a current Bowdoin student) it was someone who specializes in Islamic art. No idea about the 2nd choice candidate.
4/14 False- the original offer went to a specialist of 19th and 20th century India. No news on where things stand now.
An offer has been made and accepted (not by me, though I was the third finalist). (4/16) can i ask your field? and that of the second finalist if known?

I am a China specialist. I won't say what the finalist/successful candidate's field is as it's not my information to share and it will be public knowledge soon enough. (4/19)
",1
2011,Asian / Asian Diaspora Art,"Asian: East, South, Southeast","tt, assistant_prof",TRUE,assistant_prof,California College of the Arts,"California College of the Arts
CCA is seeking candidates for a full-time tenure-track Assistant Professorship in the field of contemporary Asian visual culture, to begin August 2012. The successful candidate will hold a Ph.D. in art history or visual culture. Candidatesƒ?? publication record and teaching interests should primarily focus on East and/or Southeast Asia, but engagement with and knowledge of the contemporary visual culture of Western Asia is desirable. Research/teaching can be address any area of the fine arts, popular visual culture, or media arts, and demonstrated interest in issues of race, gender, ethnicity, or other categories of difference will be privileged in the selection process.
First Round Interview: CAA x1
Rejection:
Campus Interview: Any news here? (3/9) Still waiting as of 3/10. Campus visit scheduled early March.
Offer:

",1
2011,Asian / Asian Diaspora Art,"Asian: East, South, Southeast",,unknown,unknown,"Courtauld Institute, London","Courtauld Institute, London
Search for two (2) new faculty teaching and research posts in Asian art history. One in the period from 1000 to 1750 AD. It will be defined thematically and focus on questions of empire and artistic patronage from the perspective of any major region of Asia. The second post is in the field of Asian modern and contemporary art and will respond to the immensely exciting developments in those areas. It will build on existing expertise in the modern and contemporary faculty, one of the fastest growing areas of teaching and research at The Courtauld. The successful candidates will have strong research profiles within their own fields of expertise, and the willingness to teach across period and/or geographical boundaries and to engage with historians of Western art. Monday 3 October 2011 Interviews: End of October/beginning of November 2011
First Round Interview: (NB: This job is unlikely to have a first round interview -- ""interviews"" in late Oct/early Nov probably means campus visits.)
Rejection:
Campus Interview: Received e-mail requesting campus interview 10/17.

Congratulations! (I say with a hint of jealousy... ;) Are you from the States and/or unfamiliar with UK interviewing practices? If so (and I say this with sincere intentions and best wishes), you should find someone who has been through the process to discuss it with -- things are generally *so* different that it's best to have a sense of what you're in for. Congrats again!
Offer: http://www.suebond.co.uk/events/release.php?eventid=509 (posted 3/11)
These were both listed as ASIAN positions- not ISLAMIC!

That is striking, since we all know there isn't any Islamic art to be found in Asia.
Right on. Moreover, this sort of thing happens all the time and we should not be ALL CAPS outraged when it does: search committees will go for the best candidates, even if this means going slightly outside of the job ad's target area; the Courtauld is lucky to have Sussan (x3). Good luck to everybody else. May the job fairy smile upon you.
Agreed! Sussan is a first rate scholar and a wonderful choice. I have learned a lot from her work, and I am not an Islamicist. As for regions, the U.S. may call it ' middle east' but several billion people elsewhere in the world call the same region 'west asia'. Sussan's work often spans the region even we in the U.S. call 'central asia'. (x2)

",2
2011,Asian / Asian Diaspora Art,"Asian: East, South, Southeast","tt, lecturer, assistant_prof",TRUE,assistant_prof,Georgia State University,"Georgia State University
Assistant Professor, Asian Art History. http://www2.gsu.edu/~wwwart/6242.html The Ernest G. Welch School of Art and Design at Georgia State University invites applications for an anticipated full-time, tenure-track faculty position in Asian Art History at the rank of Assistant Professor to begin in August 2012 pending budgetary approval. We seek candidates with specialties in all periods of Chinese, Japanese, and/or Southeast Asian art history. Scholars of early Asian art should have archaeological experience, but all candidates are encouraged to apply. The candidate must have completed a Ph.D. in art history by position start date. Deadline: Review begins 1/17/2012.
First Round Interview: 30 mins. phone interview to be scheduled for Feb 3 (Fri 1/27/12).

My email offering an interview was recalled a short while later. When I called and spoke with the administrator, she told me that after sending the emails, one member of the committee said 2/3 didn't work after all and that they were looking for another date. Has anyone else received the recall message? (1/30)
Yes, I posted the 1/27 feed above and received the same recall as well. Sorry for this belated update (1/31).
Now scheduled for Feb 6 (1/31). (x2)
Rejection:
Campus Interview: Email invitation (2/20) (x2)

Total of 3 scheduled by end of March. (3/13) -1: withdrew to accept another position (4/2)
Offer: Made (Apr 3- when I learned about it, don't know when/who it was extended to or how long pending)

It must have been extended on the 3rd, because when I withdrew the evening of the 2nd, their ordered list of candidates was under review with the dean, but they had not yet made an offer.
Is this position different than the one for Assist. Prof. that is being reviewed starting 4/16? http://www2.gsu.edu/~wwwart/6242.html Looks like they are hedging their bets that at least one of the lines (Assistant Prof. or Lecturer) will be funded (4/16)
As one of the 3 finalists (I posted above when I withdrew), I know that at least 2 of the 3 accepted positions elsewhere. My guess, therefore, is that this search failed and that they have reopened it under the Asst. Prof. ad that the previous poster provided a link to. Unless the 3rd person posts here that they accepted the original position, I would proceed on that assumption. Based on course offerings in recent years, my guess is that the lecturer position is completely separate and is to replace someone who has been teaching non-Western as a lecturer in recent years. That ad predates the supposed failure of the tenure-track Asianist search, which would lead me to believe that both the tenure-track and the lecturer positions are funded (the lecturer a replacement of an existing lecturer line, the asst. prof. a new tenure-track line that was originally searched for last fall) and that they hope to fill both. Again, of all this is just (well-)educated guesswork from a former finalist, so take it for what it's worth. (4/16)
",1
2011,Asian / Asian Diaspora Art,"Asian: East, South, Southeast",tt,TRUE,open_rank,"Harvard University, Cambridge, MA","Harvard University, Cambridge, MA
Tenure-track or Tenured Professor of South Asian Art.
The Department of History of Art and Architecture at Harvard University invites applications for an appointment, expected to begin July 1, 2012, at the level of Tenure-track or Tenured Professor, in the field of South Asian Art and Architecture. Candidates should have specialization in any area or time period in the field of South Asian Art. The appointee will teach and advise students at the undergraduate and graduate levels. Candidates should demonstrate excellence in both research and teaching. A PhD or equivalent doctoral record is required. Salary and benefits are competitive. Applications, to include a letter of application, a curriculum vitae, two writing samples, a teaching statement, a research statement, and the names and contact information of three referees should be submitted at http://academicpositions.harvard.edu. The deadline for application is December 1, 2011. Harvard is an Affirmative Action/Equal Opportunity Employer. Applications from women and minority candidates are strongly encouraged.
Basic Qualifications: A PhD or equivalent doctoral record is required.
Please visit https://academicpositions.harvard.edu/postings/3752 for more information.
Application Deadline: December 1, 2011
First Round Interview: Has anyone heard anything from them? (2/1)
No news yet? (4/14)
Rejection:
Campus Interview:
Offer:Jinah Kim

",1
2011,Asian / Asian Diaspora Art,"Asian: East, South, Southeast",associate_prof,TRUE,"assistant_prof, associate_prof","Macalester College, St. Paul, MN","Macalester College, St. Paul, MN
Assistant/Associate Professor of Asian Art History. The Art and Art History Department at Macalester College seeks candidates for a full-time, tenure-line faculty position at the level of Assistant or Associate Professor in Art History with a specialty in Asian art and the ability to offer courses that connect the arts of Asia to other cultures and to the Asian diaspora. The successful candidate will contribute to the undergraduate curriculum and will teach introductory, intermediate, and upper-level courses in Asian art and outside of that area of specialization, including a range of topic oriented courses and the senior Art History Methodology Seminar. We will continue to review applications until the position is filled, but to insure full consideration, application materials should be submitted no later than January 2, 2012.
First Round Interview: invited to interview at CAA (01/30)
Rejection: Rec'd by mail 3/13.
Campus Interview: Anyone heard anything after CAA? In response to my e-mail inquiry, they said they will notify shortlisted candidates at the beginning of next week (03/4-5).
Has anyone heard anything yet? (03/06). I called on 03/04 and the administrator said that the committee will be meeting this wednesday, and hopefully getting back to the shortlisted candidates by Thursday or Friday.
Has anyone heard anything at all? Received email requesting campus visit on 03/13. May I ask, what is your field?

Offer: search reportedly on the verge of failing. (This seems rather cryptic- can you clarify? 4/17)
Any news? Don't they have someone teaching there already?
Offer made and accepted. (4/29)

",1
2011,Asian / Asian Diaspora Art,"Asian: East, South, Southeast",contract,FALSE,lecturer,"Maryland Institute College of Art, Baltimore, MD","Maryland Institute College of Art, Baltimore, MD
The Department of Art History, Theory, and Criticism at MICA seeks a specialist in the art, architecture, and visual culture of East Asia for a full-time position with a multi-year renewable contract in a non-tenure institution. Candidates should be able to teach introductory and survey-level courses on historical periods of East Asian art, and advanced courses in an area of specialty. Familiarity with twentieth- and twenty-first-century movements in East Asia is also desirable. Candidates must demonstrate a committed interest and potential excellence in undergraduate as well as graduate teaching and be able to participate in departmental activities and college-committee work. The College will review applications as received. Although materials received before January 10, 2012 are best assured of receiving full consideration, the position will remain open until filled.
First Round Interview: Done at CAA.
Rejection: 3/22.
Campus Interview: (Heard from a friend invited for a campus interview, but it was for an art position, not this one. My apologies to those who may have seen my wrong entry from before. --3/10)
Offer:

",1
2011,Asian / Asian Diaspora Art,"Asian: East, South, Southeast",open_rank,TRUE,open_rank,"McGill University, Montre?al, Que?bec","McGill University, Montre?al, Que?bec
Gretta Chambers Chair in East Asian Art. McGill University invites applications for the Gretta Chambers Chair in East Asian Art History, a joint appointment in the Departments of East Asian Studies and Art History and Communications Studies, a tenure-stream open rank position, commencing August 1, 2012. Candidates must have a research specialization in Chinese art history, a familiarity with methodology and critical theory, and the ability to teach an introductory course in East Asian Art and courses from Early to Late Imperial and/or Modern/Contemporary Chinese Art and Visual Culture, as well as graduate seminars in the candidateƒ??s area of specialization. Ph.D. expected at time of appointment; teaching experience preferred; knowledge of French an asset. Deadline: November 15, 2011.
Any word on this? (12/20/11) The committee has indicated to have met twice, requesting more information (posted on 1/12, but notified on 1/7/11).
First Round Interview:
Rejection:
Campus Interview:
Offer: Offer has been made (3/25)

",1
2011,Architecture,"Contemporary Art, Modern Art, Architecture, & Design",tt,TRUE,assistant_prof,Middlebury College - Modern Architectural History and Theory,"Middlebury College - Modern Architectural History and Theory
Dec 23
Tenure Track position in Modern Architectural History and Theory.

Any news on this one? (1/27)
Email confirming that the search committee will consider applications in January (rec'vd 1/3)
First Round Interview:

Received request for interview at CAA (1/12) -- sorry to take so long to post; just found the site
Rejection:
Campus Interview: Two visits currently ongoing. (3/8)
Offer: Made and accepted (3/23)
Congratulations! This is a wonderful place to work. You will love your colleagues and students (and the general atmosphere of the place).

",1
2011,Asian / Asian Diaspora Art,"Asian: East, South, Southeast","tt, assistant_prof",TRUE,assistant_prof,New York University,"New York University
The Department of Art History at New York University, in collaboration with the Institute of Fine Arts, seeks to appoint an historian of South Asian Art, Architecture, and Visual Culture for a full-time, tenure-track assistant professorship. September 1, 2012 start date preferred, pending budgetary and administrative approval. Ph.D. in art history at time of appointment required. We seek a scholar with a primary specialization in pre-modern art and architecture, and possible secondary interests in early modern, modern, and contemporary art. Successful candidates will possess strong evidence of scholarly excellence, proficiency in relevant languages, and research interests complementing those of faculty in the history of art, architecture, and visual culture of the Islamic world. The appointee will teach four courses each academic year: three undergraduate courses consisting of a mix of core curriculum courses, surveys of South Asian art and architecture, and advanced courses in the candidateƒ??s area(s) of specialization; and one graduate course at the Institute of Fine Arts. The candidate will supervise undergraduate independent studies and honors theses, and master's and doctoral theses. Application deadline is December 1, 2011.
First Round Interview: Phone interview requested (12/16)
Rejection:
Campus Interview: invited X3
Offer: made (3/12), declined (3/26)
made and accepted

",1
2011,Asian / Asian Diaspora Art,"Asian: East, South, Southeast","tt, assistant_prof",TRUE,assistant_prof,"Middlebury College, Middlebury, Vermont","Middlebury College, Middlebury, Vermont
The Department of History of Art and Architecture invites applications for a tenure-track Assistant Professor, and Curator of Asian Art, Middlebury College Museum of Art, beginning in the Fall of 2012. Ph.D. or ABD in Art History or related field. Candidates should be able to teach undergraduate courses in Chinese Art history and curate the Museumƒ??s collection of Asian art. Teaching load: four courses per year, at least two of which will be museum-based courses. Ability to teach one-semester survey of Asian art desirable. Curatorial duties will include exhibition preparation, acquisitions, and maintenance of the Asian art collection. Teaching and curatorial experience required. Deadline: 12/23/2011
First Round Interview: Invitations to interview at CAA extended via email, 1/12/12 (x2).
Rejection:
Campus Interview: Invited (2/28) (x2).
Offer: Made (3/22) and declined (4/1).
Made (4/1) and accepted (4/13).

",1
2011,Asian / Asian Diaspora Art,"Asian: East, South, Southeast","tt, assistant_prof",TRUE,assistant_prof,"University of California, Berkeley ","University of California, Berkeley 
DEPARTMENT OF HISTORY OF ART, UNIVERSITY OF CALIFORNIA, BERKELEY, seeks to appoint an Assistant Professor in either South Asian or Southeast Asian Art (tenure-track), effective July 1, 2012. Ph.D. required. The successful candidate will teach a range of undergraduate and graduate courses. A broad perspective on the art of the region in the larger Asian and global context is desirable. Participation in Berkeley's Buddhist Studies Ph.D. Program is expected. The department seeks candidates whose research, teaching, or service has prepared them to contribute to our commitment to diversity and inclusion in higher education. Applications must include CV; two-page statement of research and teaching interests and experience, with brief descriptions of courses offered or proposed; one recent publication or sample of work-in-progress (~30 pages); and three letters of reference. Application must be postmarked by December 1, 2011.
First Round Interview: Asked to interview at CAA (1/21) x 2
Rejection:
Campus Interview: Invited by email (2/25).
Offer: 3/19 Offer Made and accepted
3/29: To the above poster: I just want to clarify that an informal/verbal offer has been extended and a formal offer has not been made yet - hence ""Offer Made and accepted"" is not exactly accurate. May I suggest that when updating on wiki we clarify when the information is hearsay? That would ensure clarity and avoid confusion.
4/11: For future readers of this hoping to gain an idea of the past timeframes of these searches, this job was indeed offered and accepted as indicated despite the uninformed protests above.
4/14: does anyone know the name and specialization of the selected candidate?
4/14: Offer accepted by Sugata Ray (Ph.D. University of Minnesota-Twin Cities)
4/25: At least two South Asianist (including I) did not apply for this post because we thought the position was for a Buddhist specialist. The advertisement clearly said ""Participation in Berkeley's Buddhist Studies Ph.D. Program is expected"". The offer has been accepted by someone who works on 19th/20th century Hindu temples. One does not argue that it is up to the committee whom they choose in the end, but the advertisement was clearly misleading. Moral of the story - apply for everything.
4/25: I don't think the ad was intentionally misleading. You have to recognize the multiple voices, interests, and politics that underlie the wording of these postings. The Berkeley Art History department has indeed had a long-standing and productive partnership with the Buddhist Studies Program; no doubt, they (or at least some) hope to sustain that, and I wouldn't be surprised if the chosen candidate will be expected (by some) to participate in the program. Point is: assume politics and multiple interests--and yes, apply for everything.

",1
2011,Early Modern / Renaissance / Eighteenth & Nineteenth Century Art,Early Modern Europe,"vap, lecturer, assistant_prof",FALSE,vap,"Middlebury College, Middlebury, VT","Middlebury College, Middlebury, VT
The Department of History of Art and Architecture at Middlebury College seeks to hire a visiting instructor or assistant professor for a one-year term, in any field in Early Modern European art history (ca.1600-1800), with a research specialization in painting, sculpture, printmaking, or architecture. The starting date is Fall semester, 2012. We especially welcome applications from scholars who work on art from the Iberian peninsula. Candidates would be expected to teach introductory courses in European art history, as well as offer mid- and upper-level courses in their area of specialty.
Deadline: January 16
First Round interview: CAA interview requested via email Jan. 20 (x6)
Rejection:
Campus Interview: any word here? (3/7) In the midst of 2 scheduled campus visits. (3/7) For the visiting position? Are you sure this doesn't refer to the Asian or architecture searches? My understanding was that an offer had been made for the visiting position. (3/8) You are correct -- the table of contents seems to get confused sometimes and I posted under the wrong heading. Architecture searchses are currently underway. (3/8) Thanks for clearing that up! (3/9)
Did they make the offer without campus interviews? (3/8) Yes (3/8)
Offer: made and accepted (3/9)

",1
